date,geography,indicator,value
1976-02,Alberta,Labour force,862.7
1976-02,Alberta,Employment,830.7
1976-02,Alberta,Full-time employment,704.3
1976-02,Alberta,Part-time employment,126.4
1976-02,Alberta,Unemployment,32.0
1976-02,Alberta,Unemployment rate,3.7
1976-02,Alberta,Participation rate,67.1
1976-02,Alberta,Employment rate,64.6
1976-02,British Columbia,Population,1856.8
1976-02,British Columbia,Labour force,1136.7
1976-02,British Columbia,Employment,1041.6
1976-02,British Columbia,Full-time employment,880.8
1976-02,British Columbia,Part-time employment,160.8
1976-02,British Columbia,Unemployment,95.2
1976-02,British Columbia,Unemployment rate,8.4
1976-02,British Columbia,Participation rate,61.2
1976-02,British Columbia,Employment rate,56.1
1976-03,Canada,Population,16930.7
1976-03,Canada,Labour force,10395.7
1976-03,Canada,Employment,9704.2
1976-03,Canada,Full-time employment,8509.4
1976-03,Canada,Part-time employment,1194.8
1976-03,Canada,Unemployment,691.5
1976-03,Canada,Unemployment rate,6.7
1976-03,Canada,Participation rate,61.4
1976-03,Canada,Employment rate,57.3
1976-03,Newfoundland and Labrador,Population,368.9
1976-03,Newfoundland and Labrador,Labour force,184.2
1976-03,Newfoundland and Labrador,Employment,161.7
1976-03,Newfoundland and Labrador,Full-time employment,149.6
1976-03,Newfoundland and Labrador,Part-time employment,12.1
1976-03,Newfoundland and Labrador,Unemployment,22.6
1976-03,Newfoundland and Labrador,Unemployment rate,12.3
1976-03,Newfoundland and Labrador,Participation rate,49.9
1976-03,Newfoundland and Labrador,Employment rate,43.8
1976-03,Prince Edward Island,Population,82.4
1976-03,Prince Edward Island,Labour force,47.6
1976-03,Prince Edward Island,Employment,43.5
1976-03,Prince Edward Island,Full-time employment,37.4
1976-03,Prince Edward Island,Part-time employment,6.1
1976-03,Prince Edward Island,Unemployment,4.1
1976-03,Prince Edward Island,Unemployment rate,8.6
1976-03,Prince Edward Island,Participation rate,57.8
1976-03,Prince Edward Island,Employment rate,52.8
1976-03,Nova Scotia,Population,585.7
1976-03,Nova Scotia,Labour force,326.1
1976-03,Nova Scotia,Employment,301.3
1976-03,Nova Scotia,Full-time employment,265.6
1976-03,Nova Scotia,Part-time employment,35.7
1976-03,Nova Scotia,Unemployment,24.9
1976-03,Nova Scotia,Unemployment rate,7.6
1976-03,Nova Scotia,Participation rate,55.7
1976-03,Nova Scotia,Employment rate,51.4
1976-03,New Brunswick,Population,478.8
1976-03,New Brunswick,Labour force,257.9
1976-03,New Brunswick,Employment,230.7
1976-03,New Brunswick,Full-time employment,206.6
1976-03,New Brunswick,Part-time employment,24.2
1976-03,New Brunswick,Unemployment,27.1
1976-03,New Brunswick,Unemployment rate,10.5
1976-03,New Brunswick,Participation rate,53.9
1976-03,New Brunswick,Employment rate,48.2
1976-03,Quebec,Population,4713.1
1976-03,Quebec,Labour force,2761.7
1976-03,Quebec,Employment,2545.3
1976-03,Quebec,Full-time employment,2322.9
1976-03,Quebec,Part-time employment,222.5
1976-03,Quebec,Unemployment,216.4
1976-03,Quebec,Unemployment rate,7.8
1976-03,Quebec,Participation rate,58.6
1976-03,Quebec,Employment rate,54.0
1976-03,Ontario,Population,6161.7
1976-03,Ontario,Labour force,3964.3
1976-03,Ontario,Employment,3728.4
1976-03,Ontario,Full-time employment,3233.9
1976-03,Ontario,Part-time employment,494.5
1976-03,Ontario,Unemployment,235.9
1976-03,Ontario,Unemployment rate,6.0
1976-03,Ontario,Participation rate,64.3
1976-03,Ontario,Employment rate,60.5
1976-03,Manitoba,Population,734.6
1976-03,Manitoba,Labour force,452.2
1976-03,Manitoba,Employment,432.1
1976-03,Manitoba,Full-time employment,374.4
1976-03,Manitoba,Part-time employment,57.7
1976-03,Manitoba,Unemployment,20.1
1976-03,Manitoba,Unemployment rate,4.4
1976-03,Manitoba,Participation rate,61.6
1976-03,Manitoba,Employment rate,58.8
1976-03,Saskatchewan,Population,651.4
1976-03,Saskatchewan,Labour force,385.7
1976-03,Saskatchewan,Employment,371.8
1976-03,Saskatchewan,Full-time employment,316.6
1976-03,Saskatchewan,Part-time employment,55.2
1976-03,Saskatchewan,Unemployment,13.9
1976-03,Saskatchewan,Unemployment rate,3.6
1976-03,Saskatchewan,Participation rate,59.2
1976-03,Saskatchewan,Employment rate,57.1
1976-03,Alberta,Population,1293.3
1976-03,Alberta,Labour force,874.8
1976-03,Alberta,Employment,841.7
1976-03,Alberta,Full-time employment,711.4
1976-03,Alberta,Part-time employment,130.4
1976-03,Alberta,Unemployment,33.0
1976-03,Alberta,Unemployment rate,3.8
1976-03,Alberta,Participation rate,67.6
1976-03,Alberta,Employment rate,65.1
1976-03,British Columbia,Population,1861.1
1976-03,British Columbia,Labour force,1141.2
1976-03,British Columbia,Employment,1047.6
1976-03,British Columbia,Full-time employment,891.2
1976-03,British Columbia,Part-time employment,156.4
1976-03,British Columbia,Unemployment,93.6
1976-03,British Columbia,Unemployment rate,8.2
1976-03,British Columbia,Participation rate,61.3
1976-03,British Columbia,Employment rate,56.3
1976-04,Canada,Population,16969.4
1976-04,Canada,Labour force,10451.3
1976-04,Canada,Employment,9738.2
1976-04,Canada,Full-time employment,8540.1
1976-04,Canada,Part-time employment,1198.1
1976-04,Canada,Unemployment,713.1
1976-04,Canada,Unemployment rate,6.8
1976-04,Canada,Participation rate,61.6
1976-04,Canada,Employment rate,57.4
1976-04,Newfoundland and Labrador,Population,369.4
1976-04,Newfoundland and Labrador,Labour force,186.2
1976-04,Newfoundland and Labrador,Employment,161.3
1976-04,Newfoundland and Labrador,Full-time employment,150.7
1976-04,Newfoundland and Labrador,Part-time employment,10.6
1976-04,Newfoundland and Labrador,Unemployment,25.0
1976-04,Newfoundland and Labrador,Unemployment rate,13.4
1976-04,Newfoundland and Labrador,Participation rate,50.4
1976-04,Newfoundland and Labrador,Employment rate,43.7
1976-04,Prince Edward Island,Population,82.5
1976-04,Prince Edward Island,Labour force,47.0
1976-04,Prince Edward Island,Employment,42.9
1976-04,Prince Edward Island,Full-time employment,37.7
1976-04,Prince Edward Island,Part-time employment,5.2
1976-04,Prince Edward Island,Unemployment,4.1
1976-04,Prince Edward Island,Unemployment rate,8.7
1976-04,Prince Edward Island,Participation rate,57.0
1976-04,Prince Edward Island,Employment rate,52.0
1976-04,Nova Scotia,Population,586.8
1976-04,Nova Scotia,Labour force,329.7
1976-04,Nova Scotia,Employment,302.7
1976-04,Nova Scotia,Full-time employment,266.2
1976-04,Nova Scotia,Part-time employment,36.5
1976-04,Nova Scotia,Unemployment,27.0
1976-04,Nova Scotia,Unemployment rate,8.2
1976-04,Nova Scotia,Participation rate,56.2
1976-04,Nova Scotia,Employment rate,51.6
1976-04,New Brunswick,Population,479.7
1976-04,New Brunswick,Labour force,260.0
1976-04,New Brunswick,Employment,233.0
1976-04,New Brunswick,Full-time employment,208.9
1976-04,New Brunswick,Part-time employment,24.2
1976-04,New Brunswick,Unemployment,26.9
1976-04,New Brunswick,Unemployment rate,10.3
1976-04,New Brunswick,Participation rate,54.2
1976-04,New Brunswick,Employment rate,48.6
1976-04,Quebec,Population,4721.1
1976-04,Quebec,Labour force,2786.6
1976-04,Quebec,Employment,2552.0
1976-04,Quebec,Full-time employment,2331.2
1976-04,Quebec,Part-time employment,220.8
1976-04,Quebec,Unemployment,234.6
1976-04,Quebec,Unemployment rate,8.4
1976-04,Quebec,Participation rate,59.0
1976-04,Quebec,Employment rate,54.1
1976-04,Ontario,Population,6174.6
1976-04,Ontario,Labour force,3968.0
1976-04,Ontario,Employment,3735.7
1976-04,Ontario,Full-time employment,3234.7
1976-04,Ontario,Part-time employment,501.0
1976-04,Ontario,Unemployment,232.3
1976-04,Ontario,Unemployment rate,5.9
1976-04,Ontario,Participation rate,64.3
1976-04,Ontario,Employment rate,60.5
1976-04,Manitoba,Population,735.5
1976-04,Manitoba,Labour force,453.5
1976-04,Manitoba,Employment,435.3
1976-04,Manitoba,Full-time employment,375.5
1976-04,Manitoba,Part-time employment,59.8
1976-04,Manitoba,Unemployment,18.2
1976-04,Manitoba,Unemployment rate,4.0
1976-04,Manitoba,Participation rate,61.7
1976-04,Manitoba,Employment rate,59.2
1976-04,Saskatchewan,Population,653.0
1976-04,Saskatchewan,Labour force,394.3
1976-04,Saskatchewan,Employment,380.6
1976-04,Saskatchewan,Full-time employment,325.0
1976-04,Saskatchewan,Part-time employment,55.6
1976-04,Saskatchewan,Unemployment,13.7
1976-04,Saskatchewan,Unemployment rate,3.5
1976-04,Saskatchewan,Participation rate,60.4
1976-04,Saskatchewan,Employment rate,58.3
1976-04,Alberta,Population,1301.5
1976-04,Alberta,Labour force,876.5
1976-04,Alberta,Employment,846.2
1976-04,Alberta,Full-time employment,719.3
1976-04,Alberta,Part-time employment,126.9
1976-04,Alberta,Unemployment,30.3
1976-04,Alberta,Unemployment rate,3.5
1976-04,Alberta,Participation rate,67.3
1976-04,Alberta,Employment rate,65.0
1976-04,British Columbia,Population,1865.4
1976-04,British Columbia,Labour force,1149.6
1976-04,British Columbia,Employment,1048.6
1976-04,British Columbia,Full-time employment,891.0
1976-04,British Columbia,Part-time employment,157.6
1976-04,British Columbia,Unemployment,101.1
1976-04,British Columbia,Unemployment rate,8.8
1976-04,British Columbia,Participation rate,61.6
1976-04,British Columbia,Employment rate,56.2
1976-05,Canada,Population,17008.1
1976-05,Canada,Labour force,10446.1
1976-05,Canada,Employment,9726.1
1976-05,Canada,Full-time employment,8529.6
1976-05,Canada,Part-time employment,1196.4
1976-05,Canada,Unemployment,720.0
1976-05,Canada,Unemployment rate,6.9
1976-05,Canada,Participation rate,61.4
1976-05,Canada,Employment rate,57.2
1976-05,Newfoundland and Labrador,Population,369.9
1976-05,Newfoundland and Labrador,Labour force,185.2
1976-05,Newfoundland and Labrador,Employment,160.6
1976-05,Newfoundland and Labrador,Full-time employment,149.2
1976-05,Newfoundland and Labrador,Part-time employment,11.4
1976-05,Newfoundland and Labrador,Unemployment,24.6
1976-05,Newfoundland and Labrador,Unemployment rate,13.3
1976-05,Newfoundland and Labrador,Participation rate,50.1
1976-05,Newfoundland and Labrador,Employment rate,43.4
1976-05,Prince Edward Island,Population,82.6
1976-05,Prince Edward Island,Labour force,46.9
1976-05,Prince Edward Island,Employment,42.8
1976-05,Prince Edward Island,Full-time employment,37.1
1976-05,Prince Edward Island,Part-time employment,5.7
1976-05,Prince Edward Island,Unemployment,4.1
1976-05,Prince Edward Island,Unemployment rate,8.7
1976-05,Prince Edward Island,Participation rate,56.8
1976-05,Prince Edward Island,Employment rate,51.8
1976-05,Nova Scotia,Population,588.1
1976-05,Nova Scotia,Labour force,325.9
1976-05,Nova Scotia,Employment,298.0
1976-05,Nova Scotia,Full-time employment,260.3
1976-05,Nova Scotia,Part-time employment,37.8
1976-05,Nova Scotia,Unemployment,27.9
1976-05,Nova Scotia,Unemployment rate,8.6
1976-05,Nova Scotia,Participation rate,55.4
1976-05,Nova Scotia,Employment rate,50.7
1976-05,New Brunswick,Population,480.6
1976-05,New Brunswick,Labour force,258.9
1976-05,New Brunswick,Employment,230.6
1976-05,New Brunswick,Full-time employment,205.1
1976-05,New Brunswick,Part-time employment,25.5
1976-05,New Brunswick,Unemployment,28.3
1976-05,New Brunswick,Unemployment rate,10.9
1976-05,New Brunswick,Participation rate,53.9
1976-05,New Brunswick,Employment rate,48.0
1976-05,Quebec,Population,4729.1
1976-05,Quebec,Labour force,2776.3
1976-05,Quebec,Employment,2547.6
1976-05,Quebec,Full-time employment,2329.6
1976-05,Quebec,Part-time employment,218.0
1976-05,Quebec,Unemployment,228.7
1976-05,Quebec,Unemployment rate,8.2
1976-05,Quebec,Participation rate,58.7
1976-05,Quebec,Employment rate,53.9
1976-05,Ontario,Population,6187.3
1976-05,Ontario,Labour force,3966.0
1976-05,Ontario,Employment,3734.2
1976-05,Ontario,Full-time employment,3226.9
1976-05,Ontario,Part-time employment,507.3
1976-05,Ontario,Unemployment,231.7
1976-05,Ontario,Unemployment rate,5.8
1976-05,Ontario,Participation rate,64.1
1976-05,Ontario,Employment rate,60.4
1976-05,Manitoba,Population,736.3
1976-05,Manitoba,Labour force,452.5
1976-05,Manitoba,Employment,432.3
1976-05,Manitoba,Full-time employment,369.1
1976-05,Manitoba,Part-time employment,63.2
1976-05,Manitoba,Unemployment,20.1
1976-05,Manitoba,Unemployment rate,4.4
1976-05,Manitoba,Participation rate,61.5
1976-05,Manitoba,Employment rate,58.7
1976-05,Saskatchewan,Population,654.6
1976-05,Saskatchewan,Labour force,395.7
1976-05,Saskatchewan,Employment,382.0
1976-05,Saskatchewan,Full-time employment,324.6
1976-05,Saskatchewan,Part-time employment,57.4
1976-05,Saskatchewan,Unemployment,13.7
1976-05,Saskatchewan,Unemployment rate,3.5
1976-05,Saskatchewan,Participation rate,60.4
1976-05,Saskatchewan,Employment rate,58.4
1976-05,Alberta,Population,1309.8
1976-05,Alberta,Labour force,886.6
1976-05,Alberta,Employment,849.5
1976-05,Alberta,Full-time employment,724.9
1976-05,Alberta,Part-time employment,124.5
1976-05,Alberta,Unemployment,37.2
1976-05,Alberta,Unemployment rate,4.2
1976-05,Alberta,Participation rate,67.7
1976-05,Alberta,Employment rate,64.9
