date,geography,indicator,value
2002-01,Nova Scotia,Average weekly earnings including overtime for all employees,590.06
2002-01,New Brunswick,Average weekly earnings including overtime for all employees,594.5
2002-01,Quebec,Average weekly earnings including overtime for all employees,632.94
2002-01,Ontario,Average weekly earnings including overtime for all employees,697.67
2002-01,Manitoba,Average weekly earnings including overtime for all employees,590.46
2002-01,Saskatchewan,Average weekly earnings including overtime for all employees,605.03
2002-01,Alberta,Average weekly earnings including overtime for all employees,683.2
2002-01,British Columbia,Average weekly earnings including overtime for all employees,659.72
2002-01,Yukon,Average weekly earnings including overtime for all employees,738.59
2002-01,Northwest Territories,Average weekly earnings including overtime for all employees,889.48
2002-01,Nunavut,Average weekly earnings including overtime for all employees,877.53
2002-02,Canada,Average weekly earnings including overtime for all employees,659.68
2002-02,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,588.8
2002-02,Prince Edward Island,Average weekly earnings including overtime for all employees,546.62
2002-02,Nova Scotia,Average weekly earnings including overtime for all employees,587.49
2002-02,New Brunswick,Average weekly earnings including overtime for all employees,592.52
2002-02,Quebec,Average weekly earnings including overtime for all employees,626.68
2002-02,Ontario,Average weekly earnings including overtime for all employees,696.62
2002-02,Manitoba,Average weekly earnings including overtime for all employees,592.29
2002-02,Saskatchewan,Average weekly earnings including overtime for all employees,598.21
2002-02,Alberta,Average weekly earnings including overtime for all employees,679.11
2002-02,British Columbia,Average weekly earnings including overtime for all employees,658.24
2002-02,Yukon,Average weekly earnings including overtime for all employees,732.79
2002-02,Northwest Territories,Average weekly earnings including overtime for all employees,889.38
2002-02,Nunavut,Average weekly earnings including overtime for all employees,882.4
2002-03,Canada,Average weekly earnings including overtime for all employees,667.09
2002-03,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,600.29
2002-03,Prince Edward Island,Average weekly earnings including overtime for all employees,559.51
2002-03,Nova Scotia,Average weekly earnings including overtime for all employees,590.73
2002-03,New Brunswick,Average weekly earnings including overtime for all employees,600.46
2002-03,Quebec,Average weekly earnings including overtime for all employees,633.57
2002-03,Ontario,Average weekly earnings including overtime for all employees,703.95
2002-03,Manitoba,Average weekly earnings including overtime for all employees,595.65
2002-03,Saskatchewan,Average weekly earnings including overtime for all employees,603.61
2002-03,Alberta,Average weekly earnings including overtime for all employees,687.73
2002-03,British Columbia,Average weekly earnings including overtime for all employees,671.64
2002-03,Yukon,Average weekly earnings including overtime for all employees,741.56
2002-03,Northwest Territories,Average weekly earnings including overtime for all employees,918.96
2002-03,Nunavut,Average weekly earnings including overtime for all employees,905.29
2002-04,Canada,Average weekly earnings including overtime for all employees,672.33
2002-04,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,602.15
2002-04,Prince Edward Island,Average weekly earnings including overtime for all employees,557.38
2002-04,Nova Scotia,Average weekly earnings including overtime for all employees,595.6
2002-04,New Brunswick,Average weekly earnings including overtime for all employees,604.27
2002-04,Quebec,Average weekly earnings including overtime for all employees,640.58
2002-04,Ontario,Average weekly earnings including overtime for all employees,709.06
2002-04,Manitoba,Average weekly earnings including overtime for all employees,602.8
2002-04,Saskatchewan,Average weekly earnings including overtime for all employees,613.42
2002-04,Alberta,Average weekly earnings including overtime for all employees,691.1
2002-04,British Columbia,Average weekly earnings including overtime for all employees,673.25
2002-04,Yukon,Average weekly earnings including overtime for all employees,758.14
2002-04,Northwest Territories,Average weekly earnings including overtime for all employees,907.44
2002-04,Nunavut,Average weekly earnings including overtime for all employees,929.4
2002-05,Canada,Average weekly earnings including overtime for all employees,671.43
2002-05,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,607.23
2002-05,Prince Edward Island,Average weekly earnings including overtime for all employees,558.41
2002-05,Nova Scotia,Average weekly earnings including overtime for all employees,595.54
