date,geography,indicator,value
1957-01,Prince Edward Island,Population,99000
1957-01,Nova Scotia,Population,695000
1957-01,New Brunswick,Population,558000
1957-01,Quebec,Population,4702000
1957-01,Ontario,Population,5529000
1957-01,Manitoba,Population,851000
1957-01,Saskatchewan,Population,874000
1957-01,Alberta,Population,1144000
1957-01,British Columbia,Population,1449000
1957-01,Yukon,Population,12000
1957-01,Northwest Territories including Nunavut,Population,19000
1957-04,Canada,Population,16479000
1957-04,Newfoundland and Labrador,Population,422000
1957-04,Prince Edward Island,Population,99000
1957-04,Nova Scotia,Population,698000
1957-04,New Brunswick,Population,560000
1957-04,Quebec,Population,4737000
1957-04,Ontario,Population,5580000
1957-04,Manitoba,Population,856000
1957-04,Saskatchewan,Population,875000
1957-04,Alberta,Population,1153000
1957-04,British Columbia,Population,1468000
1957-04,Yukon,Population,12000
1957-04,Northwest Territories including Nunavut,Population,19000
1957-07,Canada,Population,16677000
1957-07,Newfoundland and Labrador,Population,425000
1957-07,Prince Edward Island,Population,99000
1957-07,Nova Scotia,Population,701000
1957-07,New Brunswick,Population,563000
1957-07,Quebec,Population,4786000
1957-07,Ontario,Population,5668000
1957-07,Manitoba,Population,863000
1957-07,Saskatchewan,Population,882000
1957-07,Alberta,Population,1169000
1957-07,British Columbia,Population,1490000
1957-07,Yukon,Population,12000
1957-07,Northwest Territories including Nunavut,Population,19000
1957-10,Canada,Population,16810000
1957-10,Newfoundland and Labrador,Population,427000
1957-10,Prince Edward Island,Population,99000
1957-10,Nova Scotia,Population,702000
1957-10,New Brunswick,Population,565000
1957-10,Quebec,Population,4825000
1957-10,Ontario,Population,5722000
1957-10,Manitoba,Population,863000
1957-10,Saskatchewan,Population,884000
1957-10,Alberta,Population,1179000
1957-10,British Columbia,Population,1511000
1957-10,Yukon,Population,13000
1957-10,Northwest Territories including Nunavut,Population,20000
1958-01,Canada,Population,16907000
1958-01,Newfoundland and Labrador,Population,428000
1958-01,Prince Edward Island,Population,99000
1958-01,Nova Scotia,Population,705000
1958-01,New Brunswick,Population,567000
1958-01,Quebec,Population,4849000
1958-01,Ontario,Population,5759000
1958-01,Manitoba,Population,868000
1958-01,Saskatchewan,Population,884000
1958-01,Alberta,Population,1191000
1958-01,British Columbia,Population,1524000
1958-01,Yukon,Population,13000
1958-01,Northwest Territories including Nunavut,Population,20000
1958-04,Canada,Population,16997000
1958-04,Newfoundland and Labrador,Population,430000
1958-04,Prince Edward Island,Population,100000
1958-04,Nova Scotia,Population,707000
1958-04,New Brunswick,Population,569000
1958-04,Quebec,Population,4879000
1958-04,Ontario,Population,5789000
1958-04,Manitoba,Population,872000
1958-04,Saskatchewan,Population,888000
1958-04,Alberta,Population,1198000
1958-04,British Columbia,Population,1532000
1958-04,Yukon,Population,13000
1958-04,Northwest Territories including Nunavut,Population,20000
1958-07,Canada,Population,17120000
1958-07,Newfoundland and Labrador,Population,433000
1958-07,Prince Edward Island,Population,100000
1958-07,Nova Scotia,Population,710000
1958-07,New Brunswick,Population,572000
1958-07,Quebec,Population,4915000
1958-07,Ontario,Population,5835000
1958-07,Manitoba,Population,877000
1958-07,Saskatchewan,Population,894000
